Gender,Age_Group,Marital_Status,Income_Level,Time_of_Day,Day,Location,Cuisine_Type
Other,45-54,Divorced,Low,Dinner,Saturday,Benz Circle,Fast Food
Male,35-44,Widowed,Upper-Middle,Breakfast,Thursday,MG Road,Chinese
Male,35-44,Married,Low,Breakfast,Friday,Benz Circle,Chinese
Other,25-34,Single,High,Lunch,Monday,Bhavanipuram,Continental
Male,18-24,Divorced,Upper-Middle,Dinner,Wednesday,Governorpet,South Indian
Other,35-44,Married,High,Dinner,Saturday,Bhavanipuram,Biryani
Female,35-44,Married,Low,Dinner,Wednesday,Patamata,Biryani
Male,18-24,Married,Middle,Snack,Monday,Governorpet,Street Food
Female,25-34,Widowed,Middle,Late Night,Friday,MG Road,Fast Food
Male,55-64,Widowed,Upper-Middle,Lunch,Thursday,Patamata,Continental
Male,25-34,Widowed,Upper-Middle,Late Night,Monday,Gunadala,Biryani
Female,35-44,Married,Middle,Lunch,Tuesday,Benz Circle,Fast Food
Other,45-54,Widowed,Middle,Late Night,Monday,Bhavanipuram,Bakery
Female,25-34,Married,High,Late Night,Friday,Governorpet,Fast Food
Other,45-54,Widowed,Low,Lunch,Wednesday,One Town,Biryani
Male,55-64,Married,Middle,Late Night,Monday,Bhavanipuram,Fast Food
Male,55-64,Divorced,Low,Late Night,Monday,Patamata,Fast Food
Other,18-24,Married,Upper-Middle,Late Night,Wednesday,Poranki,Bakery
Other,25-34,Single,Upper-Middle,Dinner,Thursday,Bhavanipuram,Biryani
Other,18-24,Married,Upper-Middle,Snack,Friday,Bhavanipuram,Biryani
Other,45-54,Divorced,Upper-Middle,Snack,Monday,Poranki,Bakery
Female,45-54,Widowed,High,Breakfast,Tuesday,Poranki,Bakery
Other,18-24,Single,Low,Dinner,Thursday,Auto Nagar,Biryani
Female,25-34,Divorced,Low,Dinner,Monday,MG Road,Biryani
Female,45-54,Widowed,Low,Late Night,Friday,MG Road,Chinese
Male,18-24,Widowed,Middle,Snack,Sunday,Bhavanipuram,Biryani
Other,35-44,Divorced,Upper-Middle,Snack,Tuesday,Poranki,Street Food
Female,25-34,Divorced,High,Snack,Sunday,Auto Nagar,Chinese
Male,55-64,Divorced,Low,Lunch,Tuesday,Gunadala,South Indian
Female,55-64,Single,Low,Breakfast,Saturday,Gunadala,South Indian
Female,18-24,Married,Middle,Lunch,Friday,Governorpet,Biryani
Other,18-24,Divorced,High,Breakfast,Saturday,Bhavanipuram,South Indian
Female,35-44,Divorced,Middle,Lunch,Monday,One Town,Bakery
Female,35-44,Widowed,Upper-Middle,Late Night,Thursday,Governorpet,Fast Food
Male,45-54,Widowed,Middle,Dinner,Saturday,Benz Circle,Fast Food
Female,45-54,Married,High,Late Night,Friday,Governorpet,Street Food
Other,35-44,Widowed,Upper-Middle,Snack,Sunday,MG Road,Chinese
Male,25-34,Widowed,Low,Breakfast,Wednesday,Auto Nagar,South Indian
Other,25-34,Married,Middle,Breakfast,Sunday,One Town,Street Food
Female,25-34,Divorced,Middle,Dinner,Saturday,Benz Circle,Fast Food
Female,55-64,Single,High,Lunch,Sunday,MG Road,Chinese
Male,55-64,Single,Low,Breakfast,Saturday,One Town,Street Food
Male,55-64,Married,Low,Dinner,Monday,MG Road,Chinese
Female,18-24,Divorced,Upper-Middle,Breakfast,Tuesday,Gunadala,South Indian
Female,55-64,Divorced,Upper-Middle,Late Night,Tuesday,Gunadala,South Indian
Female,25-34,Divorced,Upper-Middle,Breakfast,Friday,One Town,Street Food
Female,55-64,Divorced,Middle,Lunch,Saturday,Gunadala,South Indian
Female,18-24,Widowed,Upper-Middle,Snack,Tuesday,MG Road,Chinese
Female,35-44,Married,Upper-Middle,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Female,25-34,Widowed,Low,Late Night,Sunday,Ramachandra Nagar,North Indian
Other,35-44,Divorced,Middle,Breakfast,Sunday,Gunadala,Continental
Female,35-44,Single,High,Snack,Thursday,Poranki,Bakery
Female,45-54,Divorced,Middle,Breakfast,Friday,MG Road,South Indian
Other,45-54,Single,High,Breakfast,Saturday,Gunadala,South Indian
Other,45-54,Widowed,Upper-Middle,Lunch,Monday,Auto Nagar,Biryani
Other,18-24,Divorced,Middle,Breakfast,Wednesday,Ramachandra Nagar,North Indian
Male,45-54,Single,Upper-Middle,Lunch,Thursday,Ramachandra Nagar,Biryani
Female,55-64,Divorced,Upper-Middle,Breakfast,Monday,Poranki,Bakery
Male,18-24,Married,High,Breakfast,Saturday,Poranki,Bakery
Male,35-44,Married,Middle,Breakfast,Saturday,Auto Nagar,Bakery
Male,45-54,Single,High,Lunch,Friday,Benz Circle,Biryani
Male,55-64,Married,Middle,Lunch,Saturday,MG Road,Biryani
Other,55-64,Divorced,Low,Breakfast,Tuesday,Patamata,Chinese
Female,18-24,Single,Middle,Dinner,Wednesday,Auto Nagar,Biryani
Female,45-54,Widowed,Middle,Dinner,Monday,One Town,Street Food
Other,25-34,Divorced,High,Lunch,Wednesday,Patamata,Continental
Other,45-54,Widowed,Upper-Middle,Breakfast,Thursday,Ramachandra Nagar,North Indian
Male,35-44,Married,Upper-Middle,Dinner,Wednesday,Benz Circle,Fast Food
Female,45-54,Divorced,Upper-Middle,Snack,Sunday,Ramachandra Nagar,Street Food
Female,35-44,Widowed,Upper-Middle,Late Night,Sunday,Patamata,Continental
Other,25-34,Married,Low,Lunch,Monday,Gunadala,Biryani
Female,55-64,Married,Upper-Middle,Dinner,Monday,Auto Nagar,Biryani
Male,18-24,Divorced,Middle,Breakfast,Sunday,Patamata,Continental
Female,35-44,Widowed,Middle,Late Night,Sunday,MG Road,Chinese
Male,55-64,Divorced,High,Late Night,Wednesday,MG Road,Street Food
Female,18-24,Single,High,Breakfast,Saturday,Auto Nagar,Biryani
Male,18-24,Divorced,High,Late Night,Tuesday,Governorpet,South Indian
Male,18-24,Widowed,Low,Snack,Sunday,Gunadala,South Indian
Female,35-44,Divorced,Low,Breakfast,Friday,Bhavanipuram,South Indian
Other,18-24,Single,Low,Lunch,Tuesday,Patamata,Continental
Male,45-54,Married,High,Lunch,Sunday,Auto Nagar,Biryani
Male,45-54,Married,Middle,Lunch,Monday,Patamata,Continental
Female,25-34,Married,Upper-Middle,Late Night,Monday,Governorpet,South Indian
Female,18-24,Divorced,Low,Late Night,Thursday,MG Road,Chinese
Other,35-44,Single,Middle,Lunch,Sunday,One Town,Biryani
Female,35-44,Married,Upper-Middle,Late Night,Thursday,MG Road,Chinese
Other,25-34,Divorced,Middle,Lunch,Saturday,Benz Circle,Biryani
Female,45-54,Widowed,Middle,Snack,Tuesday,Auto Nagar,Biryani
Male,45-54,Single,High,Snack,Monday,MG Road,Chinese
Other,45-54,Widowed,Middle,Snack,Tuesday,Patamata,Continental
Other,25-34,Divorced,Low,Breakfast,Wednesday,One Town,Street Food
Other,55-64,Widowed,Low,Dinner,Saturday,Governorpet,South Indian
Other,55-64,Single,Middle,Lunch,Saturday,Ramachandra Nagar,North Indian
Other,35-44,Divorced,Middle,Dinner,Sunday,Patamata,Continental
Other,35-44,Married,Low,Dinner,Sunday,MG Road,South Indian
Other,45-54,Widowed,High,Snack,Wednesday,Patamata,North Indian
Other,55-64,Single,Low,Breakfast,Monday,Bhavanipuram,Biryani
Female,45-54,Single,Middle,Breakfast,Monday,Governorpet,South Indian
Female,35-44,Single,High,Breakfast,Wednesday,Patamata,Continental
Male,25-34,Married,High,Lunch,Thursday,Poranki,Chinese
Male,35-44,Married,High,Dinner,Friday,Bhavanipuram,Biryani
Male,45-54,Widowed,Low,Snack,Sunday,Patamata,Street Food
Male,55-64,Single,High,Breakfast,Monday,Benz Circle,Fast Food
Female,55-64,Single,Low,Lunch,Thursday,Patamata,Biryani
Female,55-64,Widowed,High,Lunch,Friday,MG Road,Chinese
Other,45-54,Single,Upper-Middle,Breakfast,Friday,Governorpet,South Indian
Male,25-34,Widowed,Upper-Middle,Breakfast,Thursday,Gunadala,South Indian
Male,35-44,Divorced,Low,Dinner,Monday,One Town,Street Food
Female,25-34,Widowed,High,Breakfast,Saturday,Benz Circle,Fast Food
Male,45-54,Single,Low,Late Night,Friday,MG Road,Chinese
Other,18-24,Widowed,High,Snack,Wednesday,Gunadala,South Indian
Female,25-34,Married,Low,Lunch,Monday,Patamata,Continental
Female,18-24,Divorced,Low,Snack,Friday,MG Road,Street Food
Female,18-24,Divorced,Middle,Late Night,Friday,Gunadala,South Indian
Female,55-64,Widowed,Middle,Breakfast,Saturday,Bhavanipuram,Biryani
Male,55-64,Divorced,Upper-Middle,Dinner,Friday,Auto Nagar,Biryani
Other,45-54,Single,Upper-Middle,Breakfast,Saturday,One Town,Street Food
Female,45-54,Single,Middle,Snack,Monday,MG Road,North Indian
Female,18-24,Widowed,Low,Breakfast,Tuesday,MG Road,South Indian
Male,45-54,Married,High,Late Night,Wednesday,Benz Circle,Fast Food
Female,45-54,Married,Middle,Lunch,Thursday,Benz Circle,Biryani
Other,55-64,Single,Low,Lunch,Tuesday,One Town,Biryani
Male,25-34,Married,High,Late Night,Tuesday,MG Road,Fast Food
Male,35-44,Married,Middle,Snack,Thursday,Auto Nagar,Biryani
Other,18-24,Single,Upper-Middle,Dinner,Tuesday,Bhavanipuram,Biryani
Other,35-44,Widowed,High,Breakfast,Wednesday,Ramachandra Nagar,North Indian
Female,35-44,Divorced,High,Breakfast,Saturday,Gunadala,South Indian
Male,35-44,Single,Upper-Middle,Breakfast,Friday,Gunadala,South Indian
Other,18-24,Married,Middle,Lunch,Monday,Auto Nagar,Biryani
Male,45-54,Widowed,High,Lunch,Monday,Ramachandra Nagar,North Indian
Other,35-44,Married,Middle,Late Night,Wednesday,Gunadala,South Indian
Other,55-64,Widowed,Middle,Snack,Sunday,MG Road,Chinese
Male,55-64,Single,High,Snack,Thursday,Ramachandra Nagar,Street Food
Female,18-24,Married,High,Dinner,Saturday,Bhavanipuram,Biryani
Male,25-34,Single,High,Dinner,Wednesday,Governorpet,Biryani
Other,25-34,Married,Upper-Middle,Lunch,Monday,MG Road,Chinese
Female,55-64,Single,High,Snack,Saturday,Gunadala,South Indian
Female,18-24,Married,Low,Breakfast,Sunday,Ramachandra Nagar,South Indian
Male,18-24,Divorced,Upper-Middle,Lunch,Wednesday,One Town,Biryani
Male,35-44,Married,Middle,Late Night,Thursday,MG Road,Fast Food
Male,45-54,Married,Low,Breakfast,Saturday,Bhavanipuram,Biryani
Male,35-44,Widowed,High,Snack,Thursday,Gunadala,Street Food
Other,25-34,Widowed,Low,Snack,Tuesday,MG Road,Chinese
Other,45-54,Widowed,Upper-Middle,Breakfast,Wednesday,Patamata,Continental
Female,45-54,Married,Middle,Snack,Monday,Auto Nagar,South Indian
Female,25-34,Divorced,High,Breakfast,Sunday,Auto Nagar,Biryani
Other,45-54,Divorced,High,Lunch,Wednesday,Benz Circle,Biryani
Male,25-34,Married,Low,Breakfast,Saturday,One Town,Fast Food
Other,25-34,Divorced,High,Snack,Thursday,Bhavanipuram,Biryani
Female,45-54,Single,Low,Breakfast,Wednesday,Poranki,Bakery
Female,55-64,Single,Low,Breakfast,Monday,One Town,South Indian
Other,35-44,Widowed,Middle,Late Night,Thursday,Ramachandra Nagar,North Indian
Female,25-34,Single,High,Dinner,Wednesday,Auto Nagar,Chinese
Female,18-24,Divorced,Upper-Middle,Dinner,Saturday,Bhavanipuram,Biryani
Female,45-54,Single,Low,Dinner,Wednesday,MG Road,Chinese
Other,18-24,Married,Upper-Middle,Snack,Thursday,One Town,Street Food
Female,35-44,Single,Low,Snack,Friday,Governorpet,South Indian
Female,35-44,Married,High,Lunch,Friday,Auto Nagar,Biryani
Female,55-64,Divorced,Upper-Middle,Snack,Monday,Benz Circle,Fast Food
Male,35-44,Divorced,High,Late Night,Wednesday,MG Road,Chinese
Female,35-44,Widowed,High,Snack,Wednesday,Gunadala,South Indian
Female,55-64,Single,Middle,Lunch,Thursday,Patamata,Continental
Other,35-44,Widowed,High,Breakfast,Saturday,Governorpet,South Indian
Male,18-24,Married,Low,Late Night,Saturday,Bhavanipuram,Fast Food
Other,45-54,Married,High,Breakfast,Thursday,MG Road,South Indian
Male,35-44,Divorced,Low,Lunch,Saturday,MG Road,Biryani
Male,18-24,Single,High,Late Night,Sunday,Benz Circle,Fast Food
Male,25-34,Divorced,Middle,Snack,Tuesday,Ramachandra Nagar,Chinese
Male,25-34,Divorced,Upper-Middle,Lunch,Thursday,Governorpet,South Indian
Female,18-24,Single,Middle,Snack,Sunday,One Town,Street Food
Female,25-34,Widowed,Upper-Middle,Dinner,Sunday,Ramachandra Nagar,Biryani
Female,45-54,Single,Middle,Snack,Tuesday,MG Road,Chinese
Male,18-24,Married,Upper-Middle,Snack,Tuesday,Gunadala,Fast Food
Female,55-64,Married,High,Lunch,Tuesday,Governorpet,South Indian
Male,35-44,Married,Upper-Middle,Late Night,Tuesday,One Town,Street Food
Female,55-64,Married,High,Late Night,Friday,Patamata,Continental
Other,45-54,Single,Low,Late Night,Sunday,Ramachandra Nagar,North Indian
Other,45-54,Widowed,High,Dinner,Thursday,MG Road,Chinese
Female,45-54,Widowed,Low,Dinner,Saturday,Poranki,Biryani
Other,35-44,Divorced,Upper-Middle,Dinner,Friday,Gunadala,Biryani
Female,18-24,Single,Upper-Middle,Snack,Saturday,One Town,Biryani
Other,35-44,Married,Upper-Middle,Lunch,Wednesday,Auto Nagar,Biryani
Female,25-34,Widowed,Low,Breakfast,Tuesday,Auto Nagar,Biryani
Other,35-44,Widowed,Middle,Late Night,Wednesday,Bhavanipuram,Biryani
Female,45-54,Married,Upper-Middle,Dinner,Monday,MG Road,Chinese
Female,18-24,Single,Upper-Middle,Late Night,Monday,Gunadala,South Indian
Male,55-64,Widowed,High,Breakfast,Wednesday,Benz Circle,Fast Food
Other,55-64,Divorced,Low,Snack,Wednesday,One Town,Street Food
Male,18-24,Single,Middle,Dinner,Saturday,Auto Nagar,Biryani
Female,55-64,Divorced,High,Breakfast,Wednesday,One Town,South Indian
Female,35-44,Divorced,Low,Lunch,Wednesday,Patamata,Continental
Other,18-24,Divorced,Upper-Middle,Lunch,Friday,Benz Circle,Fast Food
Other,55-64,Divorced,Middle,Lunch,Saturday,Governorpet,South Indian
Other,45-54,Divorced,Low,Lunch,Saturday,Benz Circle,Biryani
Female,55-64,Divorced,Upper-Middle,Snack,Saturday,Bhavanipuram,South Indian
Other,35-44,Widowed,Upper-Middle,Dinner,Wednesday,Patamata,Continental
Female,18-24,Married,Middle,Late Night,Wednesday,MG Road,Biryani
Female,35-44,Divorced,Upper-Middle,Dinner,Friday,Auto Nagar,Biryani
Other,25-34,Married,High,Dinner,Monday,Auto Nagar,Biryani
Female,55-64,Single,High,Dinner,Thursday,One Town,Street Food
Male,45-54,Widowed,Middle,Lunch,Monday,MG Road,Chinese
Other,18-24,Single,Upper-Middle,Late Night,Saturday,Ramachandra Nagar,North Indian
Female,18-24,Divorced,High,Dinner,Tuesday,One Town,Street Food
Male,55-64,Married,High,Snack,Thursday,Poranki,Bakery
Male,45-54,Married,Upper-Middle,Dinner,Sunday,Bhavanipuram,South Indian
Female,55-64,Divorced,High,Snack,Thursday,One Town,Street Food
Female,55-64,Divorced,High,Dinner,Friday,MG Road,Chinese
Male,18-24,Widowed,High,Late Night,Friday,Poranki,Bakery
Female,45-54,Single,High,Dinner,Tuesday,Governorpet,Biryani
Other,55-64,Divorced,High,Lunch,Monday,Bhavanipuram,Biryani
Other,55-64,Widowed,Middle,Breakfast,Sunday,Bhavanipuram,Biryani
Male,35-44,Married,Low,Breakfast,Friday,Auto Nagar,Biryani
Male,55-64,Divorced,Middle,Snack,Saturday,Auto Nagar,Biryani
Other,45-54,Married,Middle,Breakfast,Saturday,Bhavanipuram,Biryani
Female,18-24,Single,Upper-Middle,Lunch,Friday,Poranki,Biryani
Other,55-64,Single,Low,Dinner,Monday,One Town,Chinese
Male,18-24,Divorced,Upper-Middle,Snack,Saturday,Bhavanipuram,Biryani
Other,45-54,Widowed,Low,Dinner,Saturday,Bhavanipuram,Biryani
Male,55-64,Married,Middle,Lunch,Wednesday,Patamata,Continental
Other,45-54,Married,Upper-Middle,Dinner,Saturday,Gunadala,Biryani
Female,45-54,Widowed,Upper-Middle,Dinner,Tuesday,Poranki,Biryani
Female,35-44,Divorced,Low,Late Night,Thursday,MG Road,Fast Food
Female,55-64,Widowed,Low,Breakfast,Monday,One Town,Street Food
Male,55-64,Single,Middle,Snack,Saturday,MG Road,Chinese
Other,18-24,Single,Low,Breakfast,Monday,Patamata,Fast Food
Male,55-64,Single,High,Snack,Thursday,One Town,Street Food
Female,55-64,Single,Middle,Breakfast,Thursday,Bhavanipuram,Biryani
Female,55-64,Single,Low,Late Night,Saturday,Patamata,Continental
Female,25-34,Divorced,Middle,Lunch,Thursday,Patamata,Biryani
Female,18-24,Divorced,Low,Dinner,Tuesday,Benz Circle,Fast Food
Female,25-34,Married,Middle,Dinner,Sunday,One Town,Street Food
Female,25-34,Widowed,Upper-Middle,Breakfast,Wednesday,Patamata,Continental
Other,55-64,Divorced,High,Dinner,Wednesday,Poranki,Bakery
Female,45-54,Divorced,Upper-Middle,Snack,Monday,Patamata,Street Food
Other,55-64,Married,Upper-Middle,Breakfast,Sunday,Ramachandra Nagar,North Indian
Other,18-24,Married,High,Breakfast,Friday,Auto Nagar,South Indian
Male,35-44,Divorced,Upper-Middle,Lunch,Saturday,Ramachandra Nagar,North Indian
Other,45-54,Married,High,Snack,Saturday,Ramachandra Nagar,North Indian
Female,18-24,Single,High,Late Night,Thursday,Auto Nagar,Biryani
Other,25-34,Divorced,Upper-Middle,Dinner,Monday,Patamata,Biryani
Other,35-44,Divorced,Upper-Middle,Late Night,Tuesday,Poranki,Fast Food
Male,55-64,Married,Middle,Breakfast,Wednesday,Poranki,South Indian
Male,35-44,Widowed,Low,Lunch,Saturday,MG Road,Chinese
Other,55-64,Single,Middle,Lunch,Wednesday,Poranki,Bakery
Male,45-54,Married,High,Dinner,Sunday,Bhavanipuram,Biryani
Female,45-54,Widowed,Upper-Middle,Lunch,Friday,Ramachandra Nagar,Biryani
Male,45-54,Married,Upper-Middle,Breakfast,Thursday,MG Road,Chinese
Other,25-34,Widowed,Low,Breakfast,Monday,MG Road,Chinese
Other,45-54,Widowed,Middle,Snack,Saturday,Ramachandra Nagar,North Indian
Female,45-54,Divorced,High,Snack,Tuesday,MG Road,Chinese
Female,45-54,Widowed,Low,Breakfast,Monday,Benz Circle,Fast Food
Male,55-64,Single,Upper-Middle,Dinner,Wednesday,Gunadala,South Indian
Male,55-64,Married,Upper-Middle,Breakfast,Sunday,Poranki,Bakery
Male,18-24,Single,Upper-Middle,Breakfast,Sunday,Auto Nagar,Biryani
Female,45-54,Single,High,Late Night,Thursday,Poranki,Bakery
Female,55-64,Divorced,Upper-Middle,Snack,Saturday,Auto Nagar,Biryani
Male,18-24,Divorced,Middle,Dinner,Saturday,One Town,Street Food
Female,25-34,Divorced,Upper-Middle,Snack,Thursday,Benz Circle,Continental
Female,55-64,Divorced,Low,Late Night,Monday,Gunadala,Fast Food
Other,45-54,Widowed,Upper-Middle,Breakfast,Saturday,MG Road,Street Food
Other,18-24,Divorced,High,Snack,Sunday,Bhavanipuram,Biryani
Female,25-34,Widowed,Middle,Lunch,Friday,Gunadala,South Indian
Female,35-44,Single,Low,Dinner,Wednesday,Auto Nagar,Biryani
Other,18-24,Single,Middle,Lunch,Thursday,Patamata,Continental
Other,25-34,Single,High,Late Night,Sunday,Benz Circle,Fast Food
Male,18-24,Divorced,Upper-Middle,Snack,Friday,One Town,Street Food
Male,35-44,Single,High,Dinner,Saturday,Ramachandra Nagar,Biryani
Male,25-34,Widowed,Middle,Dinner,Sunday,MG Road,Bakery
Male,55-64,Single,Upper-Middle,Snack,Thursday,Governorpet,South Indian
Other,55-64,Single,Upper-Middle,Snack,Friday,Auto Nagar,Street Food
Female,45-54,Single,Low,Late Night,Saturday,Bhavanipuram,Biryani
Female,35-44,Widowed,Middle,Snack,Thursday,Governorpet,South Indian
Male,55-64,Single,Middle,Late Night,Sunday,One Town,Street Food
Male,35-44,Married,Low,Breakfast,Sunday,Bhavanipuram,Biryani
Other,45-54,Widowed,Middle,Dinner,Saturday,MG Road,Chinese
Male,35-44,Divorced,Upper-Middle,Snack,Thursday,Patamata,Continental
Female,55-64,Single,Middle,Dinner,Monday,Poranki,Biryani
Other,18-24,Divorced,Upper-Middle,Breakfast,Friday,Gunadala,South Indian
Female,55-64,Single,Upper-Middle,Snack,Sunday,Gunadala,South Indian
Female,55-64,Widowed,Low,Late Night,Sunday,Poranki,Fast Food
Female,25-34,Widowed,Middle,Breakfast,Thursday,Governorpet,South Indian
Other,18-24,Divorced,High,Snack,Tuesday,Benz Circle,Fast Food
Other,55-64,Widowed,Middle,Breakfast,Monday,Auto Nagar,Biryani
Female,18-24,Divorced,Upper-Middle,Snack,Sunday,Patamata,Continental
Other,25-34,Divorced,Middle,Breakfast,Tuesday,Gunadala,South Indian
Female,55-64,Single,Middle,Dinner,Tuesday,MG Road,Chinese
Female,35-44,Divorced,High,Breakfast,Thursday,MG Road,South Indian
Other,45-54,Single,Upper-Middle,Breakfast,Wednesday,Benz Circle,South Indian
Female,55-64,Divorced,Upper-Middle,Late Night,Friday,Bhavanipuram,Biryani
Male,55-64,Divorced,High,Late Night,Friday,One Town,Street Food
Male,55-64,Widowed,High,Late Night,Saturday,Poranki,Bakery
Other,35-44,Single,Upper-Middle,Breakfast,Tuesday,Governorpet,Biryani
Female,18-24,Married,Middle,Dinner,Tuesday,Poranki,Bakery
